,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,"직업상담사 2급 국가기술자격 취득과정(1,2차 통합)",씨앤씨직업상담학원,40,1028320,21,40,32,경기,수원시
1,직업상담사 2급 취득(1차/2차),중앙직업전문학교,50,1285400,20,46.7,40,인천,남동구
2,"직업상담사2급자격증취득과정(1차,2차)",현대직업전문학교,70,1349670,20,49.1,32,광주,서구
3,직업상담사자격증(필기+실기),윤성회계캐드컴퓨터학원,50,1285400,20,33.3,26,대구,북구
4,원샷원킬! 청소년상담사3급 자격대비반,한국이러닝협회,56,550200,500,,,서울,구로구
5,청소년상담사 3급 합격반(이론+기출),한국이러닝협회,56,386100,500,,,서울,구로구
6,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,424900,500,32.5,35,서울,구로구
7,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,154200,500,32.5,,서울,구로구
8,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,170100,500,29.3,,서울,영등포구
9,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,202500,500,32.3,,서울,구로구
10,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,143100,500,32.5,30,서울,구로구
11,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,253800,500,32.3,,서울,구로구
12,합격부터 취업까지! 직업상담사 2급 실기,사단법인 한국에듀테크산업협회,28,145800,500,,,서울,강남구
13,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,422400,500,32.3,42,서울,구로구
14,"직업상담사2급(1차,2차)취득",서대문여성인력개발센터,43,1105440,20,43,36,서울,서대문구
15,원샷원킬! 청소년상담사2급 자격대비반,한국이러닝협회,56,554000,500,,,서울,구로구
16,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,291600,500,32.5,44,서울,구로구
17,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,137700,500,32.3,,서울,구로구
18,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,483300,500,29.3,44,서울,영등포구
19,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,278400,500,32.5,25,서울,구로구
20,"직업상담사 2급 자격 취득과정(1차필기, 2차실기 통합반)",영남직업능력개발원,47,1523190,20,43.4,41,대구,달서구
21,직업상담사2급 자격증 취득과정,미토직업전문학교,30,771240,20,35.5,38,부산,부산진구
22,직업상담사2급 자격증,주식회사한국인재양성교육원,50,1285400,20,31.3,40,경기,수원시
23,직업상담사2급 필기과정,(주)조근혜 부설 대전직업상담사학원,32,771240,15,48.8,40,대전,서구
24,직업상담사2급(2차)자격증 취득,울산직업전문학교,19,494870,20,30,43,울산,남구
25,"직업상담사 2급 자격증 취득과정(1차,2차 통합)",휴먼평생직업교육학원,45,1156860,18,43.5,36,전북,전주시
26,원샷원킬! 청소년상담사2급 자격대비반,한국이러닝협회,56,603400,500,,,서울,구로구
27,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,46,서울,구로구
28,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,35,서울,구로구
29,합격부터 취업까지! 직업상담사 2급 실기,사단법인 한국에듀테크산업협회,28,160380,500,,35,서울,강남구
30,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,47,서울,영등포구
31,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,서울,구로구
32,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,26,서울,구로구
33,원샷원킬! 청소년상담사3급 자격대비반,한국이러닝협회,56,599220,500,,42,서울,구로구
34,청소년상담사 3급 합격반(이론+기출),한국이러닝협회,56,424710,500,,,서울,구로구
35,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,,서울,구로구
36,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,37,서울,구로구
37,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,47,서울,구로구
38,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,29,서울,구로구
39,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,26,서울,구로구
40,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구
41,"직업상담사2급 자격 취득과정(1,2차 통합)",(주)이룸리더십연구원 이룸리더십학원,45,1156860,20,33.3,47,인천,남동구
42,직업상담사2급 자격증취득(1차+2차),이젠컴퓨터아트서비스학원,50,1285400,10,31.3,27,전북,전주시
43,직업상담사 2급(1차+2차)자격증 취득,종로여성인력개발센터,43,1105440,25,49,40,서울,종로구
44,직업상담사2급 자격증취득(2차 실기),양산직업학교,20,385620,20,58.8,41,경남,양산시
45,직업상담사2급 자격(1차 필기),부산예일직업전문학교,26,655550,20,34.1,33,부산,부산진구
46,직업상담사 2급 취득(1차/2차),중앙직업전문학교,50,1285400,20,46.7,45,인천,남동구
47,산모신생아 건강관리사 양성,엘림평생교육원,15,373260,12,56.8,57,부산,동구
48,직업상담사2급 자격증 취득,영등포여성인력개발센터,39,1075200,20,37.5,44,서울,영등포구
49,직업상담사2급 자격증 취득과정(2차 실기),(주)이룸리더십연구원 이룸리더십학원,27,514160,20,33.3,48,인천,남동구
50,"직업상담사 2급 자격증 취득과정 (1차, 2차)",(주)미래산업교육원 북부직업전문학교,52,1336810,20,39.7,38,경기,의정부시
51,직업상담사 2급 자격증취득과정(필기+실기),(주)울산KH정보교육원,43,1542480,20,32.8,37,울산,남구
52,직업상담사 2급 자격증 취득(필기+실기),부산진여성인력개발센터,40,1028320,16,,38,부산,부산진구
53,직업상담사 2급 자격증 취득과정(필기/실기),강서여성인력개발센터,50,1285400,20,40,,서울,강서구
54,직업상담사2급자격시험 대비반,안산여성인력개발센터,46,1156860,20,44.2,40,경기,안산시
55,원샷원킬! 청소년상담사2급 자격대비반,한국이러닝협회,56,603400,500,,55,서울,구로구
56,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,,서울,구로구
57,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,30,서울,구로구
58,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구
59,원샷원킬! 청소년상담사3급 자격대비반,한국이러닝협회,56,599220,500,,56,서울,구로구
60,청소년상담사 3급 합격반(이론+기출),한국이러닝협회,56,424710,500,,,서울,구로구
61,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,46,서울,구로구
62,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,44,서울,구로구
63,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,서울,구로구
64,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,37,서울,구로구
65,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,36,서울,구로구
66,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,24,서울,구로구
67,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,서울,구로구
68,합격부터 취업까지! 직업상담사 2급 실기,사단법인 한국에듀테크산업협회,28,160380,500,,,서울,강남구
69,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,46,서울,영등포구
70,"직업상담사2급 자격취득(1,2차 통합)",미래창조평생교육원,30,771240,20,,32,부산,부산진구
71,"직업상담사2급(1,2차)취득",서울특별시서부여성발전센터,40,1028320,17,36.4,45,서울,양천구
72,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,58,부산,동구
73,직업상담사2급취득(필기+실기),원스톱직업학원,45,1156860,28,35.5,44,서울,노원구
74,"직업상담사2급 취득과정(필기,실기 통합반)",대한직업전문학교,32,1028320,20,,54,대구,달서구
75,직업상담사2급 자격 취득과정,동양캐드/전산회계/컴퓨터학원,60,1542480,12,47.6,,경남,김해시
76,"직업상담사 2급 국가기술자격 취득 과정(1,2차 통합)",씨앤씨직업상담학원,41,1079730,21,40,34,경기,수원시
77,직업상담사2급 자격증,새고려평생교육원,40,771240,20,,37,부산,금정구
78,"직업상담사 2급 자격 취득(1,2차 통합)",(재)대구직업전문학교,40,1285400,20,40,35,대구,북구
79,직업상담사2급 필기과정,(주)조근혜 부설 대전직업상담사학원,23,771240,15,48.8,40,대전,서구
80,전직지원 컨설턴트 과정,인지어스평생교육원,36,1156860,20,52.1,50,서울,강남구
81,"직업상담사 2급 자격증 (1, 2차) 취득과정",명문직업전문학교,44,1413940,15,,35,인천,계양구
82,직업상담사자격증(필기+실기),윤성회계캐드컴퓨터학원,46,1285400,20,33.3,25,대구,북구
83,상담슈퍼비전과집단상담 전문가 양성과정,주식회사 한국상담심리평생교육원,23,578430,20,,50,경기,하남시
84,"직업상담사2급 자격취득과정(필기,실기통합과정)",영진직업전문학교,50,1285400,20,,37,경남,김해시
